"pmc","pagerank"
"22336",0.063747319267824
"4689552",0.00131167323596346
"4669500",0.00131167323596346
"4700962",0.00131167323596346
"4503463",0.00131167323596346
"4601535",0.00131167323596346
"4243693",0.00131167323596346
"4132679",0.00131167323596346
"4020791",0.00131167323596346
"4060949",0.00131167323596346
"4016315",0.00131167323596346
"3749462",0.00131167323596346
"3762613",0.00131167323596346
"3524096",0.00131167323596346
"3458925",0.00131167323596346
"3388811",0.00131167323596346
"3277501",0.00131167323596346
"3281791",0.00131167323596346
"3407552",0.00131167323596346
"3154912",0.00131167323596346
"3062615",0.00131167323596346
"2939578",0.00131167323596346
"2873828",0.00131167323596346
"2997543",0.00131167323596346
"3098108",0.00131167323596346
"2798630",0.00131167323596346
"2760208",0.00131167323596346
"2725473",0.00131167323596346
"2607174",0.00131167323596346
"2386748",0.00131167323596346
"2294123",0.00131167323596346
"2206978",0.00131167323596346
"1851960",0.00131167323596346
"1885844",0.00131167323596346
"1635324",0.00131167323596346
"1574309",0.00131167323596346
"1459513",0.00131167323596346
"1392886",0.00131167323596346
"1274311",0.00131167323596346
"1180510",0.00131167323596346
"551561",0.00131167323596346
"522202",0.00131167323596346
"1298960",0.00131167323596346
"164891",0.00131167323596346
"403753",0.00131167323596346
"403754",0.00131167323596346
"164615",0.00131167323596346
"156604",0.00131167323596346
"2685559",0.00131167323596346
"95564",0.00131167323596346
"64675",0.00131167323596346
"92529",0.00131167323596346
"31282",0.00131167323596346
"94735",0.00131167323596346
"17268",0.00131167323596346
"91918",0.00131167323596346
"98981",0.00131167323596346
"5073869",0.00131167323596346
"4559179",0.00131167323596346
"4174434",0.00131167323596346
"4130029",0.00131167323596346
"3754533",0.00131167323596346
"3627563",0.00131167323596346
"3772700",0.00131167323596346
"3389763",0.00131167323596346
"3261731",0.00131167323596346
"3315314",0.00131167323596346
"3174933",0.00131167323596346
"3276136",0.00131167323596346
"2905555",0.00131167323596346
"2873541",0.00131167323596346
"2691849",0.00131167323596346
"2640386",0.00131167323596346
"2615014",0.00131167323596346
"1976428",0.00131167323596346
"2674673",0.00131167323596346
"517706",0.00131167323596346
"390337",0.00131167323596346
"373309",0.0336444185024627
"4986899",0.00131167323596346
"4522806",0.00131167323596346
"4149829",0.00131167323596346
"4127115",0.00131167323596346
"4152351",0.00131167323596346
"3938924",0.00131167323596346
"3924349",0.00131167323596346
"3731263",0.00131167323596346
"3725163",0.00131167323596346
"3683919",0.00131167323596346
"3670361",0.00131167323596346
"3522258",0.00131167323596346
"3312571",0.00131167323596346
"3234236",0.00131167323596346
